cord_uid,display_name,title,license,publish_time,journal,relevance_score,works_count,cited_by_count,last_known_institution,research_field,institution_name,institution_relevance_score,country_code,type,institution_cited_by_count,institution_main_research_field,issn,journal_display_name,journal_publisher,journal_relevance_score,journal_cited_count,main_research_field
soi3bn6y,Denise R Silva,Mortality among patients with tuberculosis requiring intensive care: a retrospective cohort study,cc-by,2010-03-07,BMC Infect Dis,,,,,,,,,,,,,,,,,
soi3bn6y,Diego M Menegotto,Mortality among patients with tuberculosis requiring intensive care: a retrospective cohort study,cc-by,2010-03-07,BMC Infect Dis,,,,,,,,,,,,,,,,,
soi3bn6y,Paulo TR Dalcin,Mortality among patients with tuberculosis requiring intensive care: a retrospective cohort study,cc-by,2010-03-07,BMC Infect Dis,,,,,,,,,,,,,,,,,
480d3yfv,Spyridon A Papiris,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,,,,,,,,,,,,,,,,,
zyaj90nh,Samuel YS Wong,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,,,,,,,,,,,,,,,,,
zyaj90nh,Eliza LY Wong,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,,,,,,,,,,,,,,,,,
zyaj90nh,Josette Chor,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,,,,,,,,,,,,,,,,,
zyaj90nh,Paul KS Chan,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,6629.016,707,25058,Chinese University of Hong Kong,Medicine,Chinese University of Hong Kong,162667.58,CN,education,7076123,Biology,,,,,,
zyaj90nh,Kenny Kung,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,1009.4489,47,552,Chinese University of Hong Kong,Medicine,Chinese University of Hong Kong,162667.58,CN,education,7076123,Biology,,,,,,
gbdaad4l,David N Fisman,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,4719.3657,303,11735,University of Toronto,Medicine,University of Toronto,190788.22,CA,education,24352895,Biology,,,,,,
gbdaad4l,David N Fisman,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,4719.3657,303,11735,University of Toronto,Medicine,University of Toronto,190788.22,CA,education,24352895,Biology,,,,,,
gbdaad4l,Laura M Kinlin,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,853.7234,17,317,Hospital for Sick Children,Medicine,Hospital for Sick Children,87981.16,CA,healthcare,1980637,Medicine,,,,,,
ajafw966,Fernando A Bozza,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,109.93986,1,7,Oswaldo Cruz Foundation,Pathophysiology,Oswaldo Cruz Foundation,97431.8,BR,facility,1930633,Medicine,,,,,,
ajafw966,Edson F Assis,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,1578.3934,24,1307,Oswaldo Cruz Foundation,Biology,Oswaldo Cruz Foundation,97431.8,BR,facility,1930633,Medicine,,,,,,
0tqwjdhd,Gérard Krause,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3551.2524,301,8556,German Center for Infection Research,Medicine,German Center for Infection Research,19293.795,DE,facility,98493,Biology,,,,,,
0tqwjdhd,Gérard Krause,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3551.2524,301,8556,German Center for Infection Research,Medicine,German Center for Infection Research,19293.795,DE,facility,98493,Biology,,,,,,
0tqwjdhd,Gérard Krause,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3551.2524,301,8556,German Center for Infection Research,Medicine,German Center for Infection Research,19293.795,DE,facility,98493,Biology,,,,,,
hf3nytb2,Stefan O Brockmann,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,1804.6917,53,1620,Robert Koch Institute,Medicine,Robert Koch Institute,54942.85,DE,government,787782,Medicine,,,,,,
hf3nytb2,Stefan O Brockmann,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,1804.6917,53,1620,Robert Koch Institute,Medicine,Robert Koch Institute,54942.85,DE,government,787782,Medicine,,,,,,
2ks9iimj,Stefan O Brockmann,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,1804.6917,53,1620,Robert Koch Institute,Medicine,Robert Koch Institute,54942.85,DE,government,787782,Medicine,,,,,,
2ks9iimj,Stefan O Brockmann,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,1804.6917,53,1620,Robert Koch Institute,Medicine,Robert Koch Institute,54942.85,DE,government,787782,Medicine,,,,,,
0tqwjdhd,Brunhilde Schweiger,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3572.2893,145,4459,Robert Koch Institute,Medicine,Robert Koch Institute,54942.85,DE,government,787782,Medicine,,,,,,
0tqwjdhd,Brunhilde Schweiger,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3572.2893,145,4459,Robert Koch Institute,Medicine,Robert Koch Institute,54942.85,DE,government,787782,Medicine,,,,,,
0tqwjdhd,Udo Buchholz,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3135.1611,135,4966,Robert Koch Institute,Medicine,Robert Koch Institute,54942.85,DE,government,787782,Medicine,,,,,,
0tqwjdhd,Udo Buchholz,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3135.1611,135,4966,Robert Koch Institute,Medicine,Robert Koch Institute,54942.85,DE,government,787782,Medicine,,,,,,
d37u3qbd,Adam Meijer,"Influenza activity in Europe during eight seasons (1999–2007): an evaluation of the indicators used to measure activity and an assessment of the timing, length and course of peak activity (spread) across Europe",cc-by,2007-11-30,BMC Infect Dis,3407.8987,195,7999,National Institute for Public Health and the Environment,Medicine,National Institute for Public Health and the Environment,45325.98,NL,facility,597941,Biology,,,,,,
hf3nytb2,Martin Eichner,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,2271.7212,126,3380,University of Tübingen,Medicine,,,,,,,,,,,,
hf3nytb2,Martin Eichner,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,2271.7212,126,3380,University of Tübingen,Medicine,,,,,,,,,,,,
2ks9iimj,Martin Eichner,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,2271.7212,126,3380,University of Tübingen,Medicine,,,,,,,,,,,,
2ks9iimj,Martin Eichner,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,2271.7212,126,3380,University of Tübingen,Medicine,,,,,,,,,,,,
hf3nytb2,Hans-Peter Duerr,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,1165.3838,27,658,University of Tübingen,Medicine,,,,,,,,,,,,
2ks9iimj,Hans P Duerr,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,431.38553,4,104,University of Tübingen,Medicine,,,,,,,,,,,,
hf3nytb2,Markus Schwehm,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,995.02875,40,450,MorphoSys,Medicine,MorphoSys,9708.722,DE,company,39130,Biology,,,,,,
hf3nytb2,Markus Schwehm,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,995.02875,40,450,MorphoSys,Medicine,MorphoSys,9708.722,DE,company,39130,Biology,,,,,,
2ks9iimj,Markus Schwehm,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,995.02875,40,450,MorphoSys,Medicine,MorphoSys,9708.722,DE,company,39130,Biology,,,,,,
2ks9iimj,Markus Schwehm,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,995.02875,40,450,MorphoSys,Medicine,MorphoSys,9708.722,DE,company,39130,Biology,,,,,,
2ks9iimj,Isolde Piechotowski,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,1278.6875,9,458,Landesgesundheitsamt Baden-Württemberg,Medicine,,,,,,,,,,,,
0ybn2igj,Robin Goodwin,"Initial psychological responses to Influenza A, H1N1 (""Swine flu"")",cc-by,2009-10-06,BMC Infect Dis,2014.0526,140,2788,University of Warwick,Psychology,University of Warwick,89879.99,GB,education,4388885,Physics,,,,,,
d37u3qbd,John Paget,"Influenza activity in Europe during eight seasons (1999–2007): an evaluation of the indicators used to measure activity and an assessment of the timing, length and course of peak activity (spread) across Europe",cc-by,2007-11-30,BMC Infect Dis,1599.2014,84,1885,Netherlands Institute for Health Services Research,Medicine,Netherlands Institute for Health Services Research,19991.785,NL,other,127721,Medicine,,,,,,
d37u3qbd,Koos van der Velden,"Influenza activity in Europe during eight seasons (1999–2007): an evaluation of the indicators used to measure activity and an assessment of the timing, length and course of peak activity (spread) across Europe",cc-by,2007-11-30,BMC Infect Dis,1369.0,49,565,Radboud University Nijmegen,Medicine,Radboud University Nijmegen,201778.14,NL,education,8095519,Biology,,,,,,
22rf9kuq,Gabriella Di Giuseppe,"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",cc-by,2008-03-17,BMC Infect Dis,1577.1356,65,1227,"University of Campania ""Luigi Vanvitelli""",Medicine,,,,,,,,,,,,
22rf9kuq,Luciana Albano,"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",cc-by,2008-03-17,BMC Infect Dis,955.4019,19,494,"University of Campania ""Luigi Vanvitelli""",Medicine,,,,,,,,,,,,
22rf9kuq,Italo F Angelillo,"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",cc-by,2008-03-17,BMC Infect Dis,4293.731,185,6501,"University of Campania ""Luigi Vanvitelli""",Medicine,,,,,,,,,,,,
22rf9kuq,Rossella Abbate,"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",cc-by,2008-03-17,BMC Infect Dis,1086.4977,8,491,Seconda Università degli Studi di Napoli,Medicine,,,,,,,,,,,,
22rf9kuq,Paolo Marinelli,"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",cc-by,2008-03-17,BMC Infect Dis,1029.1171,13,608,Seconda Università degli Studi di Napoli,Medicine,,,,,,,,,,,,
1dus0u4m,Murat Civaner,"Can ""presumed consent"" justify the duty to treat infectious diseases? An analysis",cc-by,2008-03-06,BMC Infect Dis,873.7003,41,277,Uludağ University,Medicine,,,,,,,,,,,,
1dus0u4m,Berna Arda,"Can ""presumed consent"" justify the duty to treat infectious diseases? An analysis",cc-by,2008-03-06,BMC Infect Dis,770.1821,143,259,Ankara University,Medicine,Ankara University,41187.285,TR,education,1111576,Biology,,,,,,
gbdaad4l,Victoria Ng,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,1014.4298,49,850,Public Health Agency of Canada,Medicine,Public Health Agency of Canada,38288.707,CA,government,454701,Medicine,,,,,,
87mjdccj,Julien Arino,Antiviral resistance during pandemic influenza: implications for stockpiling and drug use,cc-by,2009-01-22,BMC Infect Dis,2096.138,73,2198,University of Manitoba,Medicine,University of Manitoba,76009.234,CA,education,3850651,Biology,,,,,,
87mjdccj,Christopher S Bowman,Antiviral resistance during pandemic influenza: implications for stockpiling and drug use,cc-by,2009-01-22,BMC Infect Dis,704.5923,12,364,University of Manitoba,Medicine,University of Manitoba,76009.234,CA,education,3850651,Biology,,,,,,
87mjdccj,Seyed M Moghadas,Antiviral resistance during pandemic influenza: implications for stockpiling and drug use,cc-by,2009-01-22,BMC Infect Dis,2867.909,160,3712,York University,Medicine,,,,,,,,,,,,
0tqwjdhd,Chris J Williams,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,151.14409,2,21,University of Glasgow,Psychology,University of Glasgow,124533.82,GB,education,10336560,Biology,,,,,,
0tqwjdhd,Albert Nienhaus,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3345.6196,370,5763,University Medical Center Hamburg-Eppendorf,Medicine,,,,,,,,,,,,
0ybn2igj,Lynn B Myers,"Initial psychological responses to Influenza A, H1N1 (""Swine flu"")",cc-by,2009-10-06,BMC Infect Dis,1844.4143,76,2229,University College London,Psychology,University College London,156539.36,GB,education,17142561,Biology,,,,,,
0ybn2igj,Shamsul Haque,"Initial psychological responses to Influenza A, H1N1 (""Swine flu"")",cc-by,2009-10-06,BMC Infect Dis,2150.2468,86,2164,Monash University Malaysia,Biology,Monash University Malaysia,31554.23,MY,education,290918,Biology,,,,,,
gbdaad4l,C Victor Spain,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,985.66046,14,559,Philadelphia Department of Public Health,Medicine,Philadelphia Department of Public Health,7011.6084,US,government,13880,Medicine,,,,,,
gbdaad4l,Caroline C Johnson,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,1224.2289,44,1298,Department of Public Health,Biology,,,,,,,,,,,,
0tqwjdhd,Genia Diner,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,515.9257,6,83,Vivantes Klinikum,Medicine,Vivantes Klinikum,20027.629,DE,healthcare,95739,Medicine,,,,,,
0tqwjdhd,Frank Gerlach,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,1001.13116,16,721,Universität Hamburg,Genetics,,,,,,,,,,,,
0tqwjdhd,Frank Haaman,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,375.85526,1,55,Berufsgenossenschaft für Gesundheitsdienst und Wohlfahrtspflege,Political science,,,,,,,,,,,,
wcyv6w47,Ying-Hen Hsieh,Age groups and spread of influenza: implications for vaccination strategy,cc-by,2010-04-30,BMC Infect Dis,2052.8584,87,1805,China Medical University,Biology,China Medical University,35853.33,CN,education,1007196,Medicine,,,,,,
wcyv6w47,Ying-Hen Hsieh,Age groups and spread of influenza: implications for vaccination strategy,cc-by,2010-04-30,BMC Infect Dis,2052.8584,87,1805,China Medical University,Biology,China Medical University,35853.33,CN,education,1007196,Medicine,,,,,,
wcyv6w47,Ying-Hen Hsieh,Age groups and spread of influenza: implications for vaccination strategy,cc-by,2010-04-30,BMC Infect Dis,2052.8584,87,1805,China Medical University,Biology,China Medical University,35853.33,CN,education,1007196,Medicine,,,,,,
480d3yfv,Diamantis Plachouras,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,3822.6602,78,4043,European Centre for Disease Prevention and Control,Medicine,European Centre for Disease Prevention and Control,28950.9,SE,government,161660,Medicine,,,,,,
480d3yfv,Ilias Porfyridis,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,758.7822,7,178,National and Kapodistrian University of Athens,Medicine,National and Kapodistrian University of Athens,141233.28,GR,education,4497988,Biology,,,,,,
480d3yfv,Vasiliki Karagianni,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,250.18338,1,23,National and Kapodistrian University of Athens,Linguistics,National and Kapodistrian University of Athens,141233.28,GR,education,4497988,Biology,,,,,,
480d3yfv,Evangelos J Giamarellos-Bourboulis,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,8709.135,574,16047,National and Kapodistrian University of Athens,Medicine,National and Kapodistrian University of Athens,141233.28,GR,education,4497988,Biology,,,,,,
480d3yfv,Anastasia Kotanidou,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,3593.8901,260,4787,Evangelismos Hospital,Medicine,Evangelismos Hospital,20828.467,GR,healthcare,159180,Medicine,,,,,,
480d3yfv,Helen Giamarellou,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,5553.8438,465,13155,Hygeia Hospital,Biology,Hygeia Hospital,9809.846,GR,healthcare,38240,Medicine,,,,,,
zyaj90nh,Carmen Wong,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,1242.0441,1,1445,Medical Research Foundation,Germline mutation,,,,,,,,,,,,
zyaj90nh,Sian M Griffiths,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,2881.448,304,6256,Faculty of Public Health,Medicine,Faculty of Public Health,16013.573,GB,nonprofit,100712,Medicine,,,,,,
zyaj90nh,Sian M Griffiths,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,3369.1587,304,6256,Faculty of Public Health,Medicine,Faculty of Public Health,16013.573,GB,nonprofit,100712,Medicine,,,,,,
02tnwd4m,Albert van der Vliet,Nitric oxide: a pro-inflammatory mediator in lung disease?,no-cc,2000-08-15,Respir Res,4789.038,190,9210,University of Vermont,Biology,University of Vermont,63296.7,US,education,2800207,Biology,,,,,,
02tnwd4m,Jason P Eiserich,Nitric oxide: a pro-inflammatory mediator in lung disease?,no-cc,2000-08-15,Respir Res,4468.234,99,7951,"University of California, Davis",Biology,,,,,,,,,,,,
02tnwd4m,Carroll E Cross,Nitric oxide: a pro-inflammatory mediator in lung disease?,no-cc,2000-08-15,Respir Res,4917.234,300,14172,"University of California, Davis",Biology,,,,,,,,,,,,
ejv2xln0,Erika C Crouch,Surfactant protein-D and pulmonary host defense,no-cc,2000-08-25,Respir Res,2849.5112,140,4369,Washington University in St. Louis,Biology,,,,,,,,,,,,
2b73a28n,Karen A Fagan,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respir Res,2578.4517,89,4295,University of South Alabama,Medicine,University of South Alabama,42596.402,US,education,761598,Biology,,,,,,
2b73a28n,Ivan F McMurtry,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respir Res,4157.0522,289,8570,University of South Alabama,Medicine,University of South Alabama,42596.402,US,education,761598,Biology,,,,,,
2b73a28n,David M Rodman,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respir Res,2501.7825,110,4499,ProQR Therapeutics,Medicine,ProQR Therapeutics,5814.111,NL,company,8347,Biology,,,,,,
9785vg6d,Joseph B Domachowske,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,3072.3315,204,4243,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,65328.516,US,education,925443,Medicine,,,,,,
9785vg6d,Joseph B Domachowske,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,3072.3315,204,4243,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,65328.516,US,education,925443,Medicine,,,,,,
9785vg6d,Cynthia A Bonville,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,2039.5619,65,1827,SUNY Upstate Medical University,Biology,SUNY Upstate Medical University,65328.516,US,education,925443,Medicine,,,,,,
9785vg6d,Cynthia A Bonville,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,2039.5619,65,1827,SUNY Upstate Medical University,Biology,SUNY Upstate Medical University,65328.516,US,education,925443,Medicine,,,,,,
9785vg6d,Helene F Rosenberg,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,3704.8218,247,7912,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,138793.4,US,facility,4172755,Biology,,,,,,
9785vg6d,Helene F Rosenberg,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,3704.8218,247,7912,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,138793.4,US,facility,4172755,Biology,,,,,,
qva0jt86,J Kronsbein,Relevance of human metapneumovirus in exacerbations of COPD,cc-by,2005-12-21,Respir Res,218.41086,1,32,Unknown,Genetics,,,,,,,,,,,,
c8uvemh0,Luigi Ratclif,Isolation and characterization of microparticles in sputum from cystic fibrosis patients,cc-by,2010-07-09,Respir Res,1014.6828,16,368,Unknown,Medicine,,,,,,,,,,,,
c8uvemh0,Anna Battaglino,Isolation and characterization of microparticles in sputum from cystic fibrosis patients,cc-by,2010-07-09,Respir Res,358.1615,3,64,Unknown,Linguistics,,,,,,,,,,,,
8qnrcgnk,Dirk-Jan Slebos,Heme oxygenase-1 and carbon monoxide in pulmonary medicine,no-cc,2003-08-07,Respir Res,2970.0671,285,2901,University Medical Center Groningen,Medicine,University Medical Center Groningen,107069.164,NL,healthcare,4025646,Medicine,,,,,,
8qnrcgnk,Stefan W Ryter,Heme oxygenase-1 and carbon monoxide in pulmonary medicine,no-cc,2003-08-07,Respir Res,6900.274,191,21961,Cornell College,Biology,Cornell College,28711.906,US,education,373217,Medicine,,,,,,
8qnrcgnk,Augustine MK Choi,Heme oxygenase-1 and carbon monoxide in pulmonary medicine,no-cc,2003-08-07,Respir Res,,,,,,,,,,,,,,,,,
di0fcy0j,Yi Xu,Protection of pulmonary epithelial cells from oxidative stress by hMYH adenine glycosylase,cc-by,2004-09-27,Respir Res,,,,,,,,,,,,,,,,,
qva0jt86,U Arinir,Relevance of human metapneumovirus in exacerbations of COPD,cc-by,2005-12-21,Respir Res,,,,,,,,,,,,,,,,,
qva0jt86,TT Bauer,Relevance of human metapneumovirus in exacerbations of COPD,cc-by,2005-12-21,Respir Res,,,,,,,,,,,,,,,,,
qva0jt86,G Schultze-Werninghaus,Relevance of human metapneumovirus in exacerbations of COPD,cc-by,2005-12-21,Respir Res,,,,,,,,,,,,,,,,,
utglk4af,Michael J Walker,Markers of exacerbation severity in chronic obstructive pulmonary disease,cc-by,2006-05-10,Respir Res,,,,,,,,,,,,,,,,,
