cord_uid,display_name,title,license,publish_time,full,relevance_score,works_count,cited_by_count,last_known_institution,research_field,institution_name,institution_relevance_score,country_code,type,institution_cited_by_count,institution_main_research_field,issn,journal_display_name,journal_publisher,journal_relevance_score,journal_cited_count,main_research_field
0ybn2igj,Shamsul Haque,"Initial psychological responses to Influenza A, H1N1 (""Swine flu"")",cc-by,2009-10-06,BMC Infect Dis,2194.547,147,2287,Monash University Malaysia,Biology,Monash University Malaysia,32014.23,MY,education,301117,Biology,,,,,,
gbdaad4l,C Victor Spain,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,969.47577,14,562,Philadelphia Department of Public Health,Medicine,Philadelphia Department of Public Health,7042.0527,US,government,14075,Medicine,,,,,,
0tqwjdhd,Genia Diner,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,513.3117,6,83,Vivantes Klinikum,Medicine,Vivantes Klinikum,20258.246,DE,healthcare,97103,Medicine,,,,,,
0tqwjdhd,Frank Gerlach,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,1111.5162,50,865,Universität Hamburg,Chemistry,,,,,,,,,,,,
0tqwjdhd,Frank Haaman,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,370.06274,1,56,Berufsgenossenschaft für Gesundheitsdienst und Wohlfahrtspflege,Political science,,,,,,,,,,,,
soi3bn6y,Marcelo B Gazzana,Mortality among patients with tuberculosis requiring intensive care: a retrospective cohort study,cc-by,2010-03-07,BMC Infect Dis,49.119705,1,1,Hospital de Clínicas de Porto Alegre,Unknown,,,,,,,,,,,,
wcyv6w47,Ying-Hen Hsieh,Age groups and spread of influenza: implications for vaccination strategy,cc-by,2010-04-30,BMC Infect Dis,1855.7799,79,1455,China Medical University,Biology,China Medical University,37797.0,CN,education,1036534,Medicine,,,,,,
wcyv6w47,Ying-Hen Hsieh,Age groups and spread of influenza: implications for vaccination strategy,cc-by,2010-04-30,BMC Infect Dis,1855.7799,79,1455,China Medical University,Biology,China Medical University,37797.0,CN,education,1036534,Medicine,,,,,,
wcyv6w47,Ying-Hen Hsieh,Age groups and spread of influenza: implications for vaccination strategy,cc-by,2010-04-30,BMC Infect Dis,1855.7799,79,1455,China Medical University,Biology,China Medical University,37797.0,CN,education,1036534,Medicine,,,,,,
480d3yfv,Diamantis Plachouras,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,3792.7515,84,4196,European Centre for Disease Prevention and Control,Medicine,European Centre for Disease Prevention and Control,29261.242,SE,government,165733,Medicine,,,,,,
480d3yfv,Ilias Porfyridis,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,873.65247,18,241,Nicosia General Hospital,Medicine,Nicosia General Hospital,7798.5264,CY,healthcare,17715,Medicine,,,,,,
480d3yfv,Anastasia Kotanidou,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,3468.3635,299,5029,National and Kapodistrian University of Athens,Medicine,National and Kapodistrian University of Athens,144273.83,GR,education,4569267,Biology,,,,,,
480d3yfv,Evangelos J Giamarellos-Bourboulis,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,8826.761,660,16520,National and Kapodistrian University of Athens,Medicine,National and Kapodistrian University of Athens,144273.83,GR,education,4569267,Biology,,,,,,
480d3yfv,Helen Giamarellou,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,5609.8374,510,13359,Hygeia Hospital,Biology,Hygeia Hospital,9951.883,GR,healthcare,39066,Medicine,,,,,,
zyaj90nh,Carmen Wong,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,397.82248,4,146,Parks Canada,Ecology,Parks Canada,8114.811,CA,government,25490,Biology,,,,,,
zyaj90nh,Sian M Griffiths,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,3115.319,383,7501,Faculty of Public Health,Medicine,Faculty of Public Health,16164.904,GB,nonprofit,101563,Medicine,,,,,,
zyaj90nh,Sian M Griffiths,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,3630.4976,383,7501,Faculty of Public Health,Medicine,Faculty of Public Health,16164.904,GB,nonprofit,101563,Medicine,,,,,,
02tnwd4m,Albert van der Vliet,Nitric oxide: a pro-inflammatory mediator in lung disease?,no-cc,2000-08-15,Respiratory Research,5049.549,246,10445,University of Vermont,Biology,University of Vermont,64095.375,US,education,2829240,Biology,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
02tnwd4m,Jason P Eiserich,Nitric oxide: a pro-inflammatory mediator in lung disease?,no-cc,2000-08-15,Respiratory Research,4635.8936,133,8770,"University of California, Davis",Biology,,,,,,,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
02tnwd4m,Carroll E Cross,Nitric oxide: a pro-inflammatory mediator in lung disease?,no-cc,2000-08-15,Respiratory Research,4898.441,320,14245,"University of California, Davis",Medicine,,,,,,,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
ejv2xln0,Erika C Crouch,Surfactant protein-D and pulmonary host defense,no-cc,2000-08-25,Respiratory Research,2888.0972,156,4647,Washington University in St. Louis,Biology,,,,,,,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
2b73a28n,Karen A Fagan,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respiratory Research,2637.6162,113,4557,University of South Alabama,Medicine,University of South Alabama,43150.04,US,education,768239,Biology,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
2b73a28n,Ivan F McMurtry,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respiratory Research,4127.3276,314,8681,University of South Alabama,Medicine,University of South Alabama,43150.04,US,education,768239,Biology,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
2b73a28n,David M Rodman,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respiratory Research,958.22,34,677,ProQR Therapeutics,Biology,ProQR Therapeutics,5669.4023,NL,company,8458,Biology,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
9785vg6d,Joseph B Domachowske,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respiratory Research,3093.2996,295,4405,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66809.35,US,education,936354,Medicine,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
9785vg6d,Joseph B Domachowske,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respiratory Research,3093.2996,295,4405,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66809.35,US,education,936354,Medicine,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
9785vg6d,Cynthia A Bonville,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respiratory Research,2067.2979,87,1870,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66809.35,US,education,936354,Medicine,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
9785vg6d,Cynthia A Bonville,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respiratory Research,2067.2979,87,1870,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66809.35,US,education,936354,Medicine,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
9785vg6d,Helene F Rosenberg,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respiratory Research,3724.3845,334,8141,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,141892.61,US,facility,4216569,Biology,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
9785vg6d,Helene F Rosenberg,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respiratory Research,3724.3845,334,8141,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,141892.61,US,facility,4216569,Biology,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
8qnrcgnk,Augustine MK Choi,Heme oxygenase-1 and carbon monoxide in pulmonary medicine,no-cc,2003-08-07,Respiratory Research,,,,,,,,,,,,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
di0fcy0j,Xian Ming Chen,Protection of pulmonary epithelial cells from oxidative stress by hMYH adenine glycosylase,cc-by,2004-09-27,Respiratory Research,,,,,,,,,,,,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
qva0jt86,U Arinir,Relevance of human metapneumovirus in exacerbations of COPD,cc-by,2005-12-21,Respiratory Research,,,,,,,,,,,,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
qva0jt86,R Rausse,Relevance of human metapneumovirus in exacerbations of COPD,cc-by,2005-12-21,Respiratory Research,,,,,,,,,,,,"['1465-993X', '1465-9921']",Respiratory Research,Springer Science+Business Media,14000.316,115167,Medicine
